"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","291","","loginСourier.AuthorizationCourierTests","","loginСourier.AuthorizationCourierTests","","authorizationCourier",""
"passed","","","93","","сreateCourier.CreateNewCourierNotLineTest","","сreateCourier.CreateNewCourierNotLineTest","","createNewCourierVariousParameters{String, String, String}[3]",""
"passed","","","1632","","сreateCourier.AddNewCourierTest","","сreateCourier.AddNewCourierTest","","createTwoSameCourier",""
"passed","","","1141","","сreateCourier.AddNewCourierTest","","сreateCourier.AddNewCourierTest","","newCourier",""
"passed","","","102","","сreateCourier.CreateNewCourierNotLineTest","","сreateCourier.CreateNewCourierNotLineTest","","createNewCourierVariousParameters{String, String, String}[1]",""
"passed","","","151","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousCreateLogPass{String, String}[1]",""
"passed","","","95","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousParameters{String, String}[3]",""
"passed","","","119","","orders.CreateOrderTest","","orders.CreateOrderTest","","requestsSomeColorKickScooter{String, String}[3]",""
"failed","","","60261","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","authorizationCourierNotPassword",""
"passed","","","294","","orders.GetOrdersTest","","orders.GetOrdersTest","","getAllOrdersCourier",""
"passed","","","114","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousCreateLogPass{String, String}[3]",""
"passed","","","266","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","authorizationCourierNotLogin",""
"passed","","","97","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousCreateLogPass{String, String}[2]",""
"passed","","","204","","orders.CreateOrderTest","","orders.CreateOrderTest","","requestsSomeColorKickScooter{String, String}[1]",""
"passed","","","156","","orders.CreateOrderTest","","orders.CreateOrderTest","","requestsSomeColorKickScooter{String, String}[4]",""
"failed","","","141","","сreateCourier.CreateNewCourierNotLineTest","","сreateCourier.CreateNewCourierNotLineTest","","createNewCourierVariousParameters{String, String, String}[2]",""
"passed","","","116","","orders.CreateOrderTest","","orders.CreateOrderTest","","requestsSomeColorKickScooter{String, String}[2]",""
"passed","","","102","","сreateCourier.CreateNewCourierNotLineTest","","сreateCourier.CreateNewCourierNotLineTest","","createNewCourierVariousParameters{String, String, String}[4]",""
"passed","","","134","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousParameters{String, String}[1]",""
"passed","","","99","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousParameters{String, String}[2]",""
